100 0.000096 0.000000 (4,4) (32,32)
100 0.000065 0.000000 (4,4) (32,32)
200 0.000236 0.000000 (7,7) (32,32)
200 0.000180 0.000000 (7,7) (32,32)
300 0.000518 0.000000 (10,10) (32,32)
300 0.000397 0.000000 (10,10) (32,32)
400 0.000940 0.000000 (13,13) (32,32)
400 0.000663 0.000000 (13,13) (32,32)
500 0.001649 0.000000 (16,16) (32,32)
500 0.001250 0.000000 (16,16) (32,32)
600 0.002387 0.000000 (19,19) (32,32)
600 0.001823 0.000000 (19,19) (32,32)
700 0.003786 0.000000 (22,22) (32,32)
700 0.003005 0.000000 (22,22) (32,32)
800 0.004371 0.000000 (25,25) (32,32)
800 0.003409 0.000000 (25,25) (32,32)
900 0.006370 0.000000 (29,29) (32,32)
900 0.005300 0.000000 (29,29) (32,32)
1000 0.007411 0.000000 (32,32) (32,32)
1000 0.006331 0.000000 (32,32) (32,32)
2000 0.049903 0.000000 (63,63) (32,32)
2000 0.049962 0.000000 (63,63) (32,32)
3000 0.273184 0.000000 (94,94) (32,32)
3000 0.271667 0.000000 (94,94) (32,32)
4000 0.503153 0.000000 (125,125) (32,32)
4000 0.504269 0.000000 (125,125) (32,32)
5000 1.865139 0.000000 (157,157) (32,32)
5000 1.869281 0.000000 (157,157) (32,32)
6000 3.224577 0.000000 (188,188) (32,32)
6000 3.224795 0.000000 (188,188) (32,32)
7000 5.939982 0.000000 (219,219) (32,32)
7000 5.933567 0.000000 (219,219) (32,32)
8000 7.009654 0.000000 (250,250) (32,32)
8000 7.003098 0.000000 (250,250) (32,32)
9000 13.401971 0.000000 (282,282) (32,32)
9000 13.513840 0.000000 (282,282) (32,32)
10000 17.918295 0.000000 (313,313) (32,32)
10000 17.825613 0.000000 (313,313) (32,32)
