100 0.000098 0.000000 (4,4) (32,32)
100 0.000062 0.000000 (4,4) (32,32)
200 0.000211 0.000000 (7,7) (32,32)
200 0.000148 0.000000 (7,7) (32,32)
300 0.000422 0.000000 (10,10) (32,32)
300 0.000281 0.000000 (10,10) (32,32)
400 0.000760 0.000000 (13,13) (32,32)
400 0.000507 0.000000 (13,13) (32,32)
500 0.001190 0.000000 (16,16) (32,32)
500 0.000783 0.000000 (16,16) (32,32)
600 0.001663 0.000000 (19,19) (32,32)
600 0.001114 0.000000 (19,19) (32,32)
700 0.002252 0.000000 (22,22) (32,32)
700 0.001441 0.000000 (22,22) (32,32)
800 0.002958 0.000000 (25,25) (32,32)
800 0.001937 0.000000 (25,25) (32,32)
900 0.003850 0.000000 (29,29) (32,32)
900 0.002672 0.000000 (29,29) (32,32)
1000 0.004672 0.000000 (32,32) (32,32)
1000 0.003397 0.000000 (32,32) (32,32)
2000 0.025679 0.000000 (63,63) (32,32)
2000 0.025743 0.000000 (63,63) (32,32)
3000 0.073670 0.000000 (94,94) (32,32)
3000 0.073753 0.000000 (94,94) (32,32)
4000 0.159823 0.000000 (125,125) (32,32)
4000 0.149167 0.000000 (125,125) (32,32)
5000 0.275814 0.000000 (157,157) (32,32)
5000 0.268120 0.000000 (157,157) (32,32)
6000 0.441439 0.000000 (188,188) (32,32)
6000 0.442841 0.000000 (188,188) (32,32)
7000 0.681537 0.000000 (219,219) (32,32)
7000 0.682229 0.000000 (219,219) (32,32)
8000 0.986816 0.000000 (250,250) (32,32)
8000 0.989063 0.000000 (250,250) (32,32)
9000 1.403610 0.000000 (282,282) (32,32)
9000 1.404107 0.000000 (282,282) (32,32)
10000 1.886382 0.000000 (313,313) (32,32)
10000 1.901814 0.000000 (313,313) (32,32)
